srcid,Mode,Q1,Q2,Q3,Q4,Q5a,Q5b,Q5c,Q5d,Q5e,Q5f,Q6a,Q6b,Q6c,Q6d,Q7a,Q7b,Q7c,Q7d,Q7e,Q8a,Q8b,Q8c,Q8d,Q8e,Q8f,Q8g,Q8h,Q10a,Q10b,Q10c,Q10d,Q12,Q13a,Q13b,Q13c,Q13d,Q13e,Q13f,Q14,Q15,Q16,Q17a,Q17b,Q17c,Q17d,Q17e,Q17f,Q18,Q19a,Q19b,Q19c,Q19d,Q19e,Q19f,Q19g,StateMap,p_gender_sdc,p_age_group_sdc,p_education_sdc,total_time_taken,avg_trust_Q8,Vdisagree_count,disagree_count,neutral_count,agree_count,Vagree_count,opinionated
1222,2,2,5,20,3,-98,-98,-98,2,2,2,-98,-98,-98,-98,3,3,2,-98,2,5,5,5,2,2,2,2,5,2,-98,-98,1, , , , , , , , , ,-98,-98,-98,-98,-98,3,3,-98,-98,-98,-98,-98,-98,-98,-98,4,2,4,3,15.133333333333333,3.5,0,2,4,7,1,F
628,2,4,20,1,97,2,2,1,1,1,1,4,4,3,1,1,1,1,2,2,1,3,2,1,4,1,1,5,4,4,4,2, , , , , , , , , ,3,3,2,3,3,3,2,2,3,2,2,3,2,3,4,4,1,3,2,9.799999999999999,2.25,1,4,1,7,7,F
1440,2,2,1,-98,-99,2,2,2,1,1,2,3,2,3,3,2,2,2,2,2,5,7,6,4,7,2,3,7,4,4,4,4, , , , , , , , , ,2,2,2,3,2,3,2,-99,2,2,2,3,3,3,3,4,2,2,3,6.85,5.125,0,5,3,10,2,F
45,2,2,16,1,1,1,1,2,1,2,3,4,2,4,3,3,2,2,3,2,7,7,6,1,5,4,1,9,2,5,2,2, , , , , , , , , ,3,3,2,3,2,3,3,3,3,2,2,3,3,2,3,4,2,3,1,6.683333333333331,5.0,1,4,1,11,3,F
168,2,2,28,6,1,1,2,2,1,2,1,4,3,3,3,4,2,3,3,3,4,4,5,1, ,3, ,4,5,5,5,5,4,1,1,1,1,2,2,3,3, , , , , , , , , , , , , , , ,4,2,4,3,14.650000000000006,2.625,5,3,3,6,3,F
748,2,2,11,36,101,2,1,2,2,2,1,2,2,3,1,1,1,1,1,1,7,7,9,1,8,6,1,9,4,4,4,1, , , , , , , , , ,1,2,2,2,2,2,2,2,2,1,1,3,2,3,2,4,1,4,3,32.533333333333324,6.0,1,5,1,5,8,F
1358,1,1,1,1,101,1,1,1,1,1,4,5,4,4,4,3,2,3,2,1,7,7,6,1,7,6, , ,1,1,2,2,3,1,2,1,1,1,1,2,3, , , , , , , , , , , , , , , ,4,2,4,2,14.633333333333328,4.25,1,2,0,7,10,T
439,2,2,18,1,3,1,1,2,2,2,2,3,3,4,3,3,3,3,3,3,7,8,8,7,8,8,8,7,4,4,4,4, , , , , , , , , ,3,3,3,3,4,4,3,3,3,3,2,3,3,3,3,4,1,1,2,8.083333333333332,7.625,0,9,3,6,2,F
1096,1,2,1,20,4,2,2,2,1,2,2,5,4,4,4,3,4,3,3,3,5,5,1,4,7,4,5,7,4,4,4,4, , , , , , , , , ,4,3,3,4,2,2,2,3,2,2,2,4,2,2,3,4,2,3,3,13.033333333333323,4.75,1,8,0,9,2,F
2121,2,2,16,27,1,1,1,1,1,1,1,3,2,4,4,3,3,3,3,2,7,7,8,1,5,5,1,8,2,4,2,4,3,1,1,2,1,2,1,1,3, , , , , , , , , , , , , , , ,4,2,3,2,10.966666666666669,5.25,0,7,1,6,6,F
46,1,4,5,1,97,2,3,1,1,3,3,2,3,1,1,2,2,2,2,1,8,7,6,9,5,8,5,7,4,5,4,5,2,1,2,1,1,1,2,3,2, , , , , , , , , , , , , , , ,4,2,4,3,14.350000000000007,6.875,4,7,1,5,3,F
524,2,2,13,5,1,2,1,2,2,1,1,4,5,4,4,3,3,4,3,3,10,10,9,3,6,7,7,10,5,5,5,5, , , , , , , , , ,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,4,1,4,3,8.966666666666667,7.75,5,4,0,7,4,F
1693,2,4,6,13,1,1,1,1,1,1,1,1,1,2,2,1,1,1,2,2,5,5,3,3,5,5,5,5,2,4,4,4, , , , , , , , , ,2,2,3,3,2,2,3,2,2,3,2,3,3,3,3,4,2,3,1,9.549999999999994,4.5,2,6,0,3,9,T
155,2,2,1,16,97,2,2,2,2,2,2,3,3,3,3,2,2,2,2,2,5,5,3,5,5,4,5,8,4,4,4,2, , , , , , , , , ,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3,4,1,4,2,8.483333333333336,5.0,0,3,4,13,0,F
1393,2,2,33,1,1,1,1,1,1,2,1,2,1,2,3,1,1,1,3,3,6,6,6,2,7,4,3,7,2,1,2,2,2,2,1,2,2,2,2,2,3, , , , , , , , , , , , , , , ,4,2,4,1,10.600000000000009,5.125,1,4,1,5,9,T
2270,2,4,13,28,3,2,2,2,2,2,1,2,2,2,2,2,2,3,3,2,6,6,4,1,7,3,3,7,4,4,2,1, , , , , , , , , ,2,2,2,2,2,3,2,3,3,3,3,3,3,3,3,4,1,3,2,18.93333333333335,4.625,0,9,0,9,2,F
1262,2,2,11,13,101,1,1,1,1,1,1,3,2,3,3,2,1,3,4,3,8,9,3,3,7,3,3,8,1,1,2,2,2,1,2,1,1,1,1,2,2, , , , , , , , , , , , , , , ,4,2,4,2,13.483333333333336,5.5,1,3,3,4,9,T
223,2,2,8,1,1,2,1,1,1,2,2,3,4,4,4,3,2,2,3,3,9,10,9,3,8,7,6,6,2,4,2,2,3,1,2,2,2,1,2,2,3, , , , , , , , , , , , , , , ,4,2,2,1,12.61666666666667,7.25,0,4,1,12,3,F
754,2,4,16,16,4,1,2,1,1,2,1,2,1,2,1,2,1,2,3,2,3,2,2,2,5,3,4,6,1,4,4,1, , , , , , , , , ,1,1,1,1,1,3,1,1,1,1,1,3,1,2,2,4,1,4,3,56.66666666666667,3.375,2,6,0,5,7,F
2550,2,4,16,11,4,1,1,1,1,1,1,3,2,3,1,1,1,3,4,3,2,3,4,1,5,2,3,6,2,2,2,1, , , , , , , , , ,3,3,3,4,3,3,4,3,3,2,1,4,3,3,3,4,1,2,2,6.250000000000002,3.25,2,4,2,3,9,T
682,2,2,1,5,-98,3,3,2,3,2,2,4,5,3,3,1,1,2,2,2,7,6,5,1,6,6,5,6,4,5,5,2, , , , , , , , , ,2,2,2,3,2,2,2,2,2,3,2,3,2,3,3,4,2,4,1,17.73333333333334,5.25,2,4,2,9,3,F
1031,1,2,11,13,101,2,2,2,2,2,2,2,2,2,1,2,1,1,2,2,3,3,2,1,2,1,1,5,4,4,4,1, , , , , , , , , ,3,3,3,3,-98,-98,-98,2,-98,2,1,3,2,2,2,4,2,4,1,18.24999999999999,2.25,1,6,0,10,3,F
1030,1,2,34,35,1,2,1,1,2,2,1,3,3,4,4,3,3,4,3,2,9,9,3,1,9,8,3,9,4,2,2,4, , , , , , , , , ,1,1,1,2,2,2,1,3,3,3,1,3,3,4,4,4,1,4,2,13.166666666666655,6.375,1,5,2,9,3,F
680,2,2,11,13,1,2,2,1,2,2,1,4,4,3,4,3,2,3,3,3,7,7,4,1,4,3,2,7,4,4,5,2, , , , , , , , , ,1,2,2,2,2,2,2,2,2,2,3,2,2,3,3,4,1,4,3,24.30000000000003,4.375,1,6,1,10,2,F
1039,1,4,16,13,-98,-98,2,2,2,1,2,5,4,1,1,1,1,1,1,1,5,5,5,1,5,1,1,5,4,4,4,5,1,-98,2,1,1,1,1,-98,-98, , , , , , , , , , , , , , , ,4,2,4,1,16.60000000000001,3.5,3,4,1,5,7,T
925,2,2,96,17,1,1,1,2,2,2,1,3,3,3,3,2,3,2,2,3,5,5,8,1,7,7,5,8,5,5,5,1, , , , , , , , , ,1,1,1,1,1,3,1,2,4,4,4,2,4,4,3,4,1,4,2,19.216666666666654,5.75,3,2,4,7,4,F
2563,1,2,34,26,1,1,1,2,1,1,1,4,4,3,4,1,1,3,2,3,5,6,1,1,5,4,1,5,2,5,1,1, , , , , , , , , ,1,2,2,2,1,1,1,2,3,1,1,3,4,4,1,4,1,4,3,17.68333333333334,3.5,1,2,1,7,9,T
727,2,1,16,16,1,3,2,2,2,2,2,3,2,3,2,3,2,4,3,2,5,6,5,2,3,4,3,5,4,4,5,2,2,2,1,2,1,2,1,3,2, , , , , , , , , , , , , , , ,4,2,3,2,14.783333333333333,4.125,2,7,2,8,1,F
1617,2,2,19,16,101,2,2,2,2,1,1,5,5,5,5,2,3,4,2,2,9,8,8,1,3,1,3,9,5,5,5,5,1,1,2,2,1,1,1,1,3, , , , , , , , , , , , , , , ,4,1,3,2,7.8333333333333375,5.25,5,1,0,8,6,T
2092,2,4,11,96,97,3,2,1,1,2,2,2,1,2,2,1,1,1,2,1,1,3,4,1,3,2,3,2,2,4,4,2,2,1,2,1,1,1,1,3,3, , , , , , , , , , , , , , , ,7,2, ,3,12.48333333333334,2.375,1,7,0,6,6,F
1678,2,4,32,16,101,4,4,2,2,2,1,2,1,2,3,1,1,2,1,1,4,1,1,1,1,1,1,4,4,4,5,1,2,1,2,1,1,1,1,4,-99, , , , , , , , , , , , , , , ,7,1, ,2,16.34999999999999,1.75,4,5,1,4,6,T
816,2,4,34,13,101,2,2,1,1,1,1,2,1,2,2,1,1,1,2,1,3,2,1,1,2,1,2,3,2,4,1,1, , , , , , , , , ,3,2,4,3,1,3,2,4,4,4,2,2,3,4,3,7,1, ,1,8.200000000000006,1.875,1,5,0,4,10,T
736,2,4,11,36,1,2,2,2,2,2,1,3,2,3,3,3,2,3,3,3,5,3,3,1,5,2,4,5,5,5,5,4,2,2,1,2,2,-98,2,3,3, , , , , , , , , , , , , , , ,7,2, , ,16.21666666666666,3.5,3,7,3,6,1,F
348,2,2,11,16,1,1,1,1,1,1,1,4,4,4,4,3,2,3,4,3,7,8,6,4,6,6,3,7,4,5,5,2,3,1,1,2,2,2,1,2,3, , , , , , , , , , , , , , , ,7,1, ,1,9.13333333333334,5.875,3,4,0,7,6,F
2581,2,4,16,1,3,1,1,1,1,1,1,4,4,2,2,1,1,1,2,1,3,1,1,1,5,2,6,5,2,1,1,4,4,2,2,2,2,2,2,2,3, , , , , , , , , , , , , , , ,7,2, ,1,8.733333333333327,3.0,0,4,0,4,12,T
1375,2,4,1,16,-98,3,3,3,2,3,2,2,2,2,3,3,3,4,3,3,7,7,7,1,7,3,4,7,2,4,4,4,2,1,1,2,2,1,2,2,2, , , , , , , , , , , , , , , ,5,2,3,2,12.866666666666664,5.375,1,15,1,3,0,F
111,2,4,11,6,101,2,1,1,1,1,2,2,2,2,1,1,1,2,3,3,2,3,9,9,9,3,9,9,2,2,2,4, , , , , , , , , ,3,3,4,4,2,3,3,3,4,3,3,3,3,2,3,5,1,2,1,6.783333333333336,6.625,1,7,0,6,6,F
330,2,2,16,1,1,1,1,1,1,2,1,2,2,4,2,2,1,2,1,1,5,5,5,2,5,2,5,8,4,4,4,2, , , , , , , , , ,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,5,2,4,3,13.683333333333337,4.625,0,6,0,6,8,F
903,2,2,11,5,4,4,4,1,1,1,1,4,4,4,4,3,3,4,3,2,9,9,5,1,9,4,1,9,5,4,5,2, , , , , , , , , ,1,1,3,3,2,2,3,3,3,3,1,3,3,3,3,5,2,2,1,51.61666666666661,5.875,5,4,0,7,4,F
711,2,2,16,4,1,2,2,2,1,1,1,4,3,4,3,2,2,2,2,3,8,9,5,4,8,8,5,8,4,4,4,2,2,1,1,2,2,1,2,3,3, , , , , , , , , , , , , , , ,5,2,4,3,20.116666666666667,6.875,0,4,2,11,3,F
1936,1,1,17,1,1,2,1,1,1,1,1,5,5,3,3,3,3,3,3,2,5,5,3,1,6,4,2,5,4,4,4,5, , , , , , , , , ,2,2,2,3,2,2,2,3,3,2,2,3,4,3,1,5,2,4,3,14.199999999999994,3.875,1,7,2,2,8,T
518,2,2,13,1,1,1,1,1,2,2,1,3,4,3,3,1,2,2,2,1,7,7,8,1,5,1,4,8,4,4,2,2, , , , , , , , , ,2,1,2,2,1,2,2,3,3,3,3,2,3,3,3,5,1,2,2,31.400000000000002,5.125,0,2,3,9,6,F
2321,2,4,14,13,1,1,1,1,1,1,1,4,4,3,3,2,2,3,3,2,9,8,8,3,4,7,3,8,1,2,2,2, , , , , , , , , ,2,2,3,3,1,1,2,3,3,3,1,3,4,4,3,5,2,4,2,32.899999999999984,6.25,0,3,2,8,7,F
741,2,2,1,5,3,3,3,1,1,1,1,2,2,1,2,1,1,1,2,1,4,4,5,1,4,1,1,6,1,1,2,1, , , , , , , , , ,3,3,3,3,2,3,3,3,3,3,2,3,3,3,3,5,1,3,2,10.983333333333324,3.25,1,5,0,3,11,T
