srcid,Mode,Q1,Q2,Q3,Q4,Q5a,Q5b,Q5c,Q5d,Q5e,Q5f,Q6a,Q6b,Q6c,Q6d,Q7a,Q7b,Q7c,Q7d,Q7e,Q8a,Q8b,Q8c,Q8d,Q8e,Q8f,Q8g,Q8h,Q10a,Q10b,Q10c,Q10d,Q12,Q13a,Q13b,Q13c,Q13d,Q13e,Q13f,Q14,Q15,Q16,Q17a,Q17b,Q17c,Q17d,Q17e,Q17f,Q18,Q19a,Q19b,Q19c,Q19d,Q19e,Q19f,Q19g,StateMap,p_gender_sdc,p_age_group_sdc,p_education_sdc,total_time_taken,avg_trust_Q8,Vdisagree_count,disagree_count,neutral_count,agree_count,Vagree_count,opinionated
1865,2,4,16,13,-99,4,2,3,4,3,2,1,4,2,1,1,1,1,2,2,1,1,1,1,4,2,4,2,1,1,1,2, , , , , , , , , ,3,3,3,4,3,3,3,3,3,3,3,3,2,3,3,2,1,3,2,9.600000000000003,2.0,4,4,0,6,6,T
2388,1,4,19,13,1,4,1,1,1,1,1,1,1,1,1,4,1,-98,3,1,1,1,1,1,1,1,1,1,4,4,1,1, , , , , , , , , ,4,4,4,4,3,3,3,3,3,3,-98,4,3,3,3,1,1,3,3,16.233333333333327,1.0,6,4,1,0,9,T
1244,2,2,1,1,1,2,2,1,2,1,1,2,1,3,5,1,1,3,3,3,5,6,6,2,5,3,2,7,4,4,2,4, , , , , , , , , ,1,2,3,3,1,1,3,3,3,4,1,3,3,4,3,3,1,4,2,12.05,4.5,1,7,1,5,6,F
85,2,4,16,19,1,1,1,1,1,1,1,4,4,5,5,3,3,4,4,3,10,10,8,7,3,1,7,10,1,1,1,1,3,2,1,2,2,2,2,3,3, , , , , , , , , , , , , , , ,5,2,2,1,13.266666666666675,7.0,2,4,0,2,12,T
982,2,2,29,13,1,2,2,1,1,1,1,3,3,3,3,1,1,1,1,1,7,7,2,1,6,3,2,7,2,4,2,4, , , , , , , , , ,1,1,1,1,1,1,1,3,3,3,2,3,3,3,3,2,2,4,3,16.73333333333334,4.375,0,2,4,5,9,T
1997,2,4,36,11,4,2,2,2,2,2,2,3,3,3,3,2,1,2,2,2,4,4,4,2,4,2,2,5,2,1,1,4,2,1,2,1,1,1,1,3,3, , , , , , , , , , , , , , , ,2,1,4,3,27.983333333333334,3.375,0,2,4,11,3,F
1087,1,4,13,1,1,1,2,2,2,2,2,5,4,2,5,1,1,1,1,2,3,4,4,5,4,3,2,5,5,5,5,5,2,2,2,1,1,1,1,3,2, , , , , , , , , , , , , , , ,4,2,2,1,20.150000000000002,3.75,4,2,0,7,7,T
1386,2,4,28,16,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,5,6,5,3,6,4,3,6,2,2,2,2,3,1,1,1,1,1,2,2,3, , , , , , , , , , , , , , , ,2,2,4, ,16.599999999999987,4.75,0,5,0,15,0,F
1573,2,1,1,96,1,2,2,1,2,2,1,3,3,2,2,1,1,3,1,1,6,6,6,2,5,6,6,6,4,5,4,1,2,1,1,1,2,2,2,3,3, , , , , , , , , , , , , , , ,2,2,2,1,9.366666666666669,5.375,1,5,2,4,8,T
1418,2,4,1,36,101,2,2,1,1,1,1,5,5,5,5,1,1,1,1,1,1,1,1,1,1,1,1,1,4,5,2,1, , , , , , , , , ,2,2,2,3,2,2,2,3,3,3,2,3,3,3,3,3,2,3,2,8.816666666666668,1.0,1,2,0,3,14,T
1647,2,2,1,29,1,2,2,2,2,2,2,1,1,1,1,1,2,1,1,1,6,4,6,1,5,1,1,5,5,5,5,1,3,1,2,2,1,1,2,4,2, , , , , , , , , , , , , , , ,3,2,2,1,4.266666666666667,3.625,7,0,0,8,5,T
1068,2,4,36,13,101,2,3,2,2,2,2,2,4,2,4,2,1,2,2,2,5,4,4,2,2,7,2,3,2,4,4,2, , , , , , , , , ,2,3,3,3,2,2,2,-98,2,3,3,3,3,3,3,3,1,3,3,17.666666666666675,3.625,0,6,0,13,1,F
1918,1,2,16,20,101,2,1,1,2,2,1,5,2,2,3,3,4,4,3,3,7,6,2,5,7,5, ,6,2,2,2,2, , , , , , , , , ,3,2,3,3,2,3,3,3,3,2,2,3,3,3,3,1,1,4,2,15.633333333333338,4.75,2,5,1,8,4,F
65,2,4,16,13,101,2,2,2,2,2,1,3,2,3,2,2,1,3,2,2,1,1,2,1,1,1,1,1,5,4,4,1,4,1,2,1,1,1,1,4,2, , , , , , , , , , , , , , , ,3,1,4,3,25.95,1.125,1,6,2,8,3,F
1203,2,4,11,32,101,1,1,1,1,1,1,3,3,3,3,2,2,1,3,2,7,7,8,1,8,3,1,8,4,4,5,1,3,1,1,2,1,2,2,2,2, , , , , , , , , , , , , , , ,3,1,4,1,9.249999999999993,5.375,1,4,4,3,8,T
2105,2,2,36,19,1,2,2,1,1,1,1,2,2,2,2,1,1,1,1,1,3,3,4,3,3,4,4,4,2,4,4,2, , , , , , , , , ,1,1,-98,1,1,4,1,-98,3,3,2,2,-98,4,3,2,2,4,1,11.450000000000003,3.5,0,6,0,5,9,F
441,2,4,16,34,1,1,1,1,1,1,1,4,4,4,2,1,2,1,1,1,5,5,5,1,5,1,1,10,1,2,2,1,3,1,1,2,1,2,1,3,3, , , , , , , , , , , , , , , ,1,2,3,3,20.516666666666662,4.125,0,2,0,6,12,T
1035,2,2,13,18,1,2,2,2,-98,2,2,3,2,3,2,2,1,3,2,2,7,6,8,2,5,5,3,7,4,5,5,4,2,2,1,2,1,2,1,3,2, , , , , , , , , , , , , , , ,5,2,4,3,37.199999999999996,5.375,2,5,3,9,1,F
1769,2,2,30,5,-98,2,2,2,2,2,2,4,1,1,4,1,2,2,2,1,3,3,6,1,1,2,6,7,2,2,2,2,3,2,1,2,2,1,2,2,3, , , , , , , , , , , , , , , ,4,2,4,2,20.800000000000004,3.625,2,0,0,16,2,F
1991,2,4,36,16,97,2,2,2,2,4,2,4,2,4,4,2,1,3,3,1,3,3,3,2,5,2,4,6,4,2,4,4,1,1,1,2,1,2,2,3,3, , , , , , , , , , , , , , , ,3,1,3,2,18.833333333333325,3.5,1,7,0,10,2,F
1346,1,2,13,1,101,2,2,2,1,1,2,3,2,3,3,1,2,1,2,4,2,1,4, ,5,3,5,5,4,4,4,3, , , , , , , , , ,3,4,2,3,3,3,3,3,2,3,2,3,2,-98,3,2,2,4, ,15.766666666666664,3.125,1,4,4,7,4,F
202,2,2,1,1,1,1,1,1,1,1,1,4,2,4,3,2,2,3,2,2,7,8,8,1,5,8,6,7,4,4,4,4,2,2,1,2,2,2,2,2,3, , , , , , , , , , , , , , , ,4,1,4,1,11.783333333333328,6.25,0,6,1,7,6,F
521,2,2,17,1,1,3,3,1,2,1,2,4,4,4,4,3,2,2,3,3,8,7,7,1,5,4,1,9,4,4,4,2,2,1,1,1,1,1,2,3,3, , , , , , , , , , , , , , , ,2,1,3,3,10.899999999999986,5.25,0,8,0,10,2,F
1752,2,2,16,1,101,3,2,2,2,2,1,2,2,1,1,1,2,1,1,1,1,1,6,3,6,8,8,2,1,1,2,1, , , , , , , , , ,2,3,3,4,1,2,1,3,2,1,3,3,4,3,3,5,1,3,2,10.433333333333332,4.375,2,3,0,7,8,T
709,2,4,1,1,101,1,1,1,1,1,1,2,1,2,1,3,2,3,4,3,5,7,9,5,7,5,7,7,1,4,5,1,3,1,1,2,1,1,2,3,3, , , , , , , , , , , , , , , ,1,1,2,1,7.350000000000001,6.5,4,7,0,1,8,T
271,2,4,1,20,1,1,2,1,1,2,1,2,4,1,2,1,1,1,2,1,1,1,2,1,1,1,2,2,1,1,1,1,2,1,2,1,1,1,1,3,3, , , , , , , , , , , , , , , ,5,2,3,3,13.950000000000006,1.375,1,3,0,4,12,T
1316,2,2,11,36,3,1,1,1,1,1,1,4,4,5,4,3,3,4,4,3,9,9,8,7,8,8,9,9,1,4,4,2,3,2,1,2,1,2,2,2,3, , , , , , , , , , , , , , , ,1,1,4,1,11.266666666666678,8.375,2,5,0,5,8,T
909,2,5,11,11,4,4,4,1,1,2,2,1,1,2,3,1,1,1,2,1,3,3,1,1,4,1,1,5,1,1,2,1, , , , , , , , , ,4,4,2,4,4,4,4,4,3,3,3,4,2,2,4,1,2,3,1,9.499999999999998,2.375,5,1,1,4,9,T
1658,1,1,6,13,1,1,1,1,1,1,1,5,5,5,5,1,3,3,4,3,7,10,9,4,7,5,7,10,1,5,5,5,2,1,1,1,1,1,1,3,3, , , , , , , , , , , , , , , ,1,1,4,1,12.166666666666659,7.375,4,3,0,0,13,T
1232,2,2,17,30,101,2,2,2,2,1,1,3,4,4,4,1,2,3,2,2,6,4,7,1,3,1,1,3,2,2,5,1, , , , , , , , , ,2,2,3,3,3,2,-98,1,3,3,2,2,2,2,3,1,2,4,3,28.33333333333334,3.25,1,1,1,13,4,F
1608,1,2,34,11,101,4,3,-98,-98,2,1,4,4,3,3,4,1,4,4,1,8,1,3,1,1,8, ,8,4,4,4,-99, , , , , , , , , ,2,2,2,2,2,2,1,-98,2,2,2,2,2,2,2,2,2,3, ,17.966666666666672,3.75,4,4,4,4,3,F
1626,2,1,1,11,3,1,1,2,1,2,2,3,3,4,4,3,3,3,3,3,8,8,6,7,8,7,8,8,1,1,2,4, , , , , , , , , ,3,3,3,3,3,3,3,2,2,3,2,3,3,2,3,3,2,1,3,10.566666666666674,7.5,0,6,2,6,6,F
1876,2,4,34,1,1,1,1,1,1,4,1,3,3,4,1,1,2,3,3,1,6,3,5,1,5,3,4,5,2,2,4,1,3,2,1,2,1,2,1,2,2, , , , , , , , , , , , , , , ,3,2,3,1,17.266666666666662,4.0,2,4,2,4,8,T
1729,1,5,13,27,101,2,2,1,1,1,1,2,1,2,2,2,1,1,1,1,1,1,1,1,5,1,4,6,1,5,5,5, , , , , , , , , ,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,5,1,4,3,17.716666666666672,2.5,5,3,0,3,9,T
1138,2,2,11,6,3,2,2,2,2,1,1,4,2,4,3,1,1,2,2,1,7,9,6,1,9,4,2,8,1,4,4,1,2,2,2,2,2,1,2,3,3, , , , , , , , , , , , , , , ,5,1,4,1,9.033333333333324,5.75,0,3,1,9,7,F
2325,2,2,16,1,3,1,1,1,1,1,1,3,2,4,3,2,3,4,3,2,8,9,8,2,9,2,6,9,2,2,4,4,2,1,2,2,2,1,2,2,3, , , , , , , , , , , , , , , ,1,1,2,2,8.48333333333333,6.625,1,5,2,6,6,F
1189,2,2,-99, ,101,2,2,2,2,2,-99,3,2,4,3,2,3,3,3,3,7,8,5,2,6,4,9,9,2,4,4,1, , , , , , , , , ,3,3,4,3,4,4,4,2,3,2,4,2,2,4,3,1,1,4,3,13.249999999999996,6.25,0,7,2,9,1,F
431,2,2,4,20,3,2,2,1,1,1,1,5,5,4,4,3,3,3,2,3,9,8,7,6,6,1,1,10,2,5,4,2, , , , , , , , , ,4,4,4,4,1,3,4,4,4,4,4,4,3,4,4,2,1,3,1,12.633333333333338,6.0,1,5,0,8,6,F
80,2,2,17,1,3,1,1,1,1,1,1,3,4,4,3,1,2,2,2,2,9,9,5,5,9,5,5,9,2,2,2,4, , , , , , , , , ,3,4,2,4,2,4,4,2,2,2,1,3,2,1,4,2,1,3,3,6.8999999999999995,7.0,0,1,2,10,7,F
2374,2,1,34,30,101,1,1,1,1,2,1,5,4,1,4,2,1,3,3,1,8,8,6,3,8,5,5,8,1,1,1,2, , , , , , , , , ,1,1,1,1,1,4,1,1,1,1,1,1,1,3,3,3,1,4,1,15.783333333333339,6.375,1,2,0,5,12,T
2300,2,2,1,35,101,4,3,3,2,2,1,2,4,3,2,3,3,3,3,2,6,6,6,1,6,6,3,6,2,4,2,4,2,1,2,2,1,2,2,4,3, , , , , , , , , , , , , , , ,5,1,3,1,12.066666666666665,5.0,1,10,1,7,1,F
213,2,2,1,16,3,3,3,2,2,2,2,1,1,2,2,1,1,2,2,1,3,3,2,1,8,2,2,8,1,2,4,1, , , , , , , , , ,2,2,3,3,1,2,1,2,2,3,1,3,4,4,4,1,2,4,1,12.283333333333333,3.625,2,5,0,8,5,F
1631,2,2,1,29,1,1,1,1,1,1,1,5,5,1,1,1,1,1,1,1,10,10,10,1,1,1,1,10,2,5,5,1,1,2,2,1,1,1,1,1,3, , , , , , , , , , , , , , , ,4,1,4,2,22.666666666666675,5.5,4,0,0,2,14,T
96,2,4,16,16,4,1,1,1,1,1,1,5,5,5,5,1,1,1,2,1,3,3,3,1,4,2,2,3,4,4,1,2,2,1,2,2,1,1,2,4,1, , , , , , , , , , , , , , , ,1,2,3,2,10.866666666666667,2.625,0,3,0,2,15,T
2257,2,2,1,5,101,2,2,2,2,2,2,4,2,3,2,2,2,3,2,1,6,6,3,2,7,4,4,7,4,4,4,2, , , , , , , , , ,3,-98,2,3,2,2,2,3,2,2,1,3,3,2,3,4,2,4,2,23.95,4.875,0,6,1,12,1,F
517,2,4,16,37,-99,3,3,2,2,2,2,5,3,1,1,1,1,1,1,1,3,3,3,3,3,3,3,3,2,5,4,2, , , , , , , , , ,-99,-99,-99,-99,-99,-99,-99,2,3,2,2,3,2,2,3,2,1,4,1,30.300000000000008,3.0,3,4,1,6,6,F
383,2,4,16,11,3,4,3,2,2,2,2,5,5,4,5,2,2,2,2,1,7,8,3,2,7,3,4,7,4,4,4,2,3,2,1,2,2,2,2,2,1, , , , , , , , , , , , , , , ,8,1,3,1,9.566666666666672,5.125,1,5,0,10,4,F
651,2,4,13,1,101,2,2,4,4,4,4,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,4,4,4,1, , , , , , , , , ,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,1,2,2,15.433333333333339,1.0,8,5,0,2,5,T
1148,2,2,5,1,3,2,2,2,1,2,2,4,3,3,4,2,3,4,4,3,7,7,5,4,7,5,5,7,2,4,2,4, , , , , , , , , ,3,2,3,3,3,3,3,3,3,3,2,3,3,3,3,1,2,3,3,11.450000000000001,5.875,2,4,2,11,1,F
312,2,2,36,29,1,2,2,2,3,3,3,3,2,3,2,2,2,2,2,2,7,5,3,3,3,3,2,7,2,2,4,2, , , , , , , , , ,2,2,2,2,2,2,2,3,3,3,2,3,3,3,3,3,2,4,1,14.049999999999994,4.125,0,6,2,12,0,F
2050,2,1,26,96,1,4,4,1,1,1,1,4,4,4,3,3,3,3,3,2,9,9,3,1,8,6,3,10,4,4,4,4, , , , , , , , , ,2,2,2,2,2,3,3,3,3,3,2,2,3,2,3,1,1,4,2,16.150000000000002,6.125,2,8,1,4,5,F
1923,2,2,20,96,3,1,1,1,1,1,1,4,3,3,2,2,2,2,2,2,8,5,4,1,8,5,3,8,2,2,4,2, , , , , , , , , ,2,2,2,3,2,2,2,2,2,2,2,3,3,3,3,4,1,3,1,20.483333333333338,5.25,0,2,2,10,6,F
1553,1,2,13,5,101,2,2,1,1,1,1,4,-98,3,3,2,2,2,2,2,3,5,1,1,3,1,1,5,5,5,5,5, , , , , , , , , ,3,3,3,3,2,3,2,2,3,2,2,3,3,2,3,4,1,3,3,15.549999999999997,2.5,4,0,2,9,4,F
408,2,2,11,13,1,1,1,1,1,1,1,4,3,4,4,2,1,2,3,2,8,8,5,3,5,3,5,8,1,2,2,2, , , , , , , , , ,2,2,2,2,2,2,2,2,2,2,2,4,2,4,3,1,2,3,2,36.65,5.625,0,1,1,10,8,F
781,2,2,16,34,1,1,1,1,1,1,1,3,3,3,2,2,1,1,2,1,5,5,5,1,1,1,1,8,5,5,5,1, , , , , , , , , ,2,1,2,2,1,2,1,4,4,4,4,4,4,4,4,2,2,4,3,9.783333333333335,3.375,3,1,3,3,10,T
1484,2,4,11,33,4,2,2,1,1,1,2,1,1,1,1,1,1,1,2,1,3,3,2,1,8,1,8,8,2,2,2,1,3,2,1,2,1,2,2,2,3, , , , , , , , , , , , , , , ,1,2,4,2,12.783333333333333,4.25,4,1,0,7,8,T
1098,1,2,13,16,1,4,3,1,1,1,1,1,1,3,1,1,2,2,1,1,2,1,3,1,3,1,1,3,2,4,5,1,2,1,2,1,1,1,1,1,1, , , , , , , , , , , , , , , ,4,1,3,2,14.650000000000006,1.875,5,2,1,4,8,T
562,2,2,19,16,101,1,1,1,1,1,1,4,2,4,3,4,3,4,3,3,7,6,4,2,4,3,3,7,4,2,4,2, , , , , , , , , ,1,1,2,2,2,3,2,3,4,3,1,3,3,2,3,1,1,3,1,14.233333333333336,4.5,2,6,1,5,6,F
1082,2,2,16,4,3,1,1,1,1,1,1,3,3,4,4,3,3,2,4,3,6,7,7,1,7,1,2,9,4,4,4,4,2,1,1,2,1,2,2,3,3, , , , , , , , , , , , , , , ,1,1,3,2,11.599999999999994,5.0,1,7,2,4,6,F
473,2,1,29,5,3,1,1,1,1,1,1,2,1,2,2,1,1,2,2,2,6,7,9,1,8,5,5,9,2,4,2,2, , , , , , , , , ,1,1,2,3,1,3,2,3,3,3,1,3,3,3,4,3,1,3,2,14.93333333333335,6.25,1,4,0,6,9,T
1907,2,2,29,15,101,1,1,1,1,2,1,2,2,3,3,3,2,3,3,3,8,5,10,1,3,8,5,7,2,4,2,4, , , , , , , , , ,4,4,4,4,4,4,4,4,4,2,1,3,3,3,4,1,1,4,1,12.73333333333333,5.875,0,8,2,5,5,F
434,2,4,1,4,1,2,2,2,2,2,2,4,2,4,3,2,2,2,2,2,8,8,6,1,6,5,5,9,2,2,4,2, , , , , , , , , ,2,3,3,3,3,2,2,2,2,2,1,2,2,3,3,4,1,2,1,8.76666666666667,6.0,0,3,1,16,0,F
1330,2,4,20,35,4,2,2,2,2,2,2,3,2,2,2,2,2,3,3,2,4,3,6,1,5,1,5,6,2,2,2,2, , , , , , , , , ,4,4,4,4,4,4,4,2,3,2,1,3,2,1,3,3,2,3,1,8.799999999999997,3.875,0,6,1,13,0,F
1584,1,2,32,96,4,2,2,2,2,1,1,3,2,2,2,4,2,3,2,2,4,3,2,3,5,3,3,5,2,2,2,3, , , , , , , , , ,4,4,4,4,4,4,4,3,3,3,2,3,3,-98,3,1,2,3,3,13.78333333333332,3.5,1,4,2,11,2,F
2540,2,4,33,96,101,2,2,1,1,1,1,5,3,4,5,3,2,3,3,3,7,2,7,5,7,9,8,8,2,2,2,2,2,-98,-98,1,1,2,-98,2,-98, , , , , , , , , , , , , , , ,3,1,2,2,12.266666666666666,6.625,0,5,1,8,6,F
1624,2,2,16,6,3,2,2,1,1,1,1,2,3,2,2,2,2,1,2,2,9,9,8,1,3,1,2,9,1,2,1,1,1,1,1,2,1,1,2,3,3, , , , , , , , , , , , , , , ,2,1,2,3,7.629999999999997,5.25,0,3,1,8,8,F
1724,2,2,1,29,3,2,2,2,2,2,2,3,2,2,2,2,2,2,2,2,7,7,5,2,7,3,3,6,1,2,4,2,2,2,1,2,1,1,1,3,3, , , , , , , , , , , , , , , ,2,2,1,1,15.416666666666663,5.0,0,4,1,14,1,F
1704,2,4,34,11,101,2,2,2,2,1,1,1,1,2,2,1,2,1,1,1,5,5,5,1,2,4,4,5,2,4,2,2,1,1,1,1,2,2,2,2,3, , , , , , , , , , , , , , , ,1,1,3,2,12.066666666666672,3.875,2,4,0,8,6,F
1196,2,4,36,11,3,2,2,2,2,2,2,2,2,2,1,2,3,2,3,1,5,5,2,1,4,1,1,4,4,4,2,4,2,2,1,2,1,1,2,3,1, , , , , , , , , , , , , , , ,2,1,2,2,11.533333333333337,2.875,1,9,0,9,1,F
175,2,2,13,4,1,1,1,1,1,1,4,5,5,5,5,1,1,1,1,1,8,7,1,1,6,1,1,10,1,4,1,2,3,1,2,1,1,1,1,1,3, , , , , , , , , , , , , , , ,2,1,2,2,5.630000000000004,4.375,1,1,0,2,16,T
1756,2,2,20,35,-98,2,2,2,2,2,1,4,4,3,3,2,2,2,3,3,6,6,3,3,8,3,3,10,5,5,5,4,3,1,1,1,1,2,2,3,3, , , , , , , , , , , , , , , ,2,2,2,1,10.533333333333367,5.25,3,3,2,11,1,F
1582,2,2,19,1,101,3,3,3,3,3,3,3,2,2,2,2,2,2,2,1,7,7,6,3,5,7,4,8,1,1,1,1,1,1,1,1,1,1,1,3,1, , , , , , , , , , , , , , , ,3,1,1,3,8.750000000000004,5.875,0,9,1,5,5,F
110,2,2,36,17,101,3,3,2,1,1,1,4,2,3,2,1,2,1,1,2,6,9,8,6,8,5,7,8,2,5,2,4, , , , , , , , , ,4,4,2,1,1,4,2,3,2,3,2,4,2,2,4,1,1,1,1,8.433333333333334,7.125,1,5,1,7,6,F
399,2,2,1,1,1,2,2,2,1,1,1,3,2,2,2,3,3,3,3,2,5,4,4,2,3,4,5,4,4,5,4,4,2,1,1,2,2,2,2,3,1, , , , , , , , , , , , , , , ,4,2,3,3,15.25,3.875,1,10,1,5,3,F
828,2,5,16,20,4,2,2,2,1,2,1,4,1,3,3,2,2,2,3,2,2,3,1,1,3,1,2,3,2,4,4,2, , , , , , , , , ,2,2,2,3,1,2,2,2,2,3,1,3,3,2,3,2,2,4,1,16.850000000000005,2.0,2,3,2,11,2,F
1845,2,4,11,6,4,2,2,2,1,2,2,2,3,3,3,3,3,3,4,3,5,5,6,4,6,5,6,6,2,2,2,2,2,1,1,2,1,1,1,3,2, , , , , , , , , , , , , , , ,3,1,1,1,7.166666666666667,5.375,1,6,3,9,1,F
1512,2,2,96,16,4,2,2,1,1,1,3,3,4,4,4,3,3,3,3,2,7,7,7,5,5,4,5,7,4,4,4,2, , , , , , , , , ,3,3,3,4,2,3,3,3,3,3,2,4,3,2,3,2,2,2,1,26.66666666666663,5.875,0,8,1,8,3,F
1314,2,2,13,1,3,2,2,2,2,2,2,3,3,3,3,2,2,2,3,2,6,5,6,5,5,5,5,5,2,2,2,2, , , , , , , , , ,2,2,2,2,3,2,2,3,2,2,2,3,2,3,2,3,1,1,2,9.033333333333328,5.25,0,1,4,15,0,F
2191,2,2,11,1,101,3,3,3,3,3,3,2,2,2,2,1,2,2,1,1,7,7,5,3,6,3,3,7,2,4,4,2,3,1,2,1,1,1,1,2,2, , , , , , , , , , , , , , , ,1,2,3,1,14.266666666666683,5.125,0,12,0,5,3,F
1304,2,5,16,16,4,3,3,1,1,2,2,2,1,1,1,1,2,1,2,1,1,1,1,1,3,1,3,2,2,4,4,2, , , , , , , , , ,4,4,4,4,4,4,4,1,2,1,3,3,2,1,3,3,2,3,3,7.616666666666667,1.625,4,5,0,6,5,F
1797,2,2,13,11,1,2,1,1,1,1,1,4,5,5,3,2,1,3,3,1,9,9,7,2,8,4,4,9,4,2,2,2,2,1,1,2,2,1,2,2,3, , , , , , , , , , , , , , , ,3,1,2,1,19.116666666666674,6.5,0,3,1,7,9,F
1215,2,4,5,17,4,2,2,2,2,2,2,3,4,3,3,2,2,2,2,2,3,4,3,1,4,1,3,3,4,4,4,2,1,1,1,1,1,2,2,4,3, , , , , , , , , , , , , , , ,2,2,3,3,11.750000000000004,2.75,0,4,3,13,0,F
395,2,4,16,11,4,3,3,2,2,2,3,1,1,2,1,1,1,2,3,1,8,8,8,7,8,5,7,8,2,2,2,2,2,1,1,2,1,2,1,2,3, , , , , , , , , , , , , , , ,3,1,2,1,8.78333333333333,7.375,3,6,0,8,3,F
2159,2,2,96,32,4,2,2,2,2,2,2,4,4,3,3,1,1,3,2,1,8,7,7,1,4,2,1,6,1,2,4,2, , , , , , , , , ,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,2,1,3,1,11.766666666666666,4.5,0,2,2,12,4,F
1545,2,4,11,16,3,2,2,1,1,1,2,3,3,2,2,2,2,3,3,3,5,5,3,2,5,3,2,5,1,2,1,1,2,1,1,2,2,2,1,3,2, , , , , , , , , , , , , , , ,2,2,3,1,8.21666666666667,3.75,0,6,2,6,6,F
1565,1,2,1,13,1,2,2,1,1,1,1,1,2,3,2,1,1,3,1,1,6,6,4,3,6,5,4,6,1,2,1,4,3,1,2,1,1,1,1,2,3, , , , , , , , , , , , , , , ,4,1,3,3,11.799999999999995,5.0,1,4,1,4,10,T
1576,2,4,5,13,3,3,3,3,3,3,3,2,2,3,2,1,2,2,1,1,6,5,5,3,5,4,2,7,4,5,4,2,2,1,1,2,1,2,1,3,3, , , , , , , , , , , , , , , ,2,1,1,3,13.049999999999995,4.625,1,12,1,3,3,F
2264,2,4,11,37,4,2,2,2,2,2,2,3,2,3,3,2,2,3,2,2,6,6,6,5,6,5,5,6,5,5,5,5, , , , , , , , , ,3,3,3,3,3,3,3,2,2,2,3,4,2,2,3,3,2,4,2,19.766666666666676,5.625,4,3,3,10,0,F
477,2,4,18,1,3,2,1,2,2,2,2,2,2,1,2,1,1,1,2,1,2,2,1,1,3,1,1,6,1,4,2,4,2,1,1,2,2,1,2,3,3, , , , , , , , , , , , , , , ,1,1,4,1,8.733333333333324,2.125,1,6,0,7,6,F
1697,2,2,34,1,4,1,3,2,3,2,1,1,1,1,2,2,2,1,2,1,7,6,7,3,8,3,6,5,1,1,1,1,4,1,1,1,1,1,1,1,1, , , , , , , , , , , , , , , ,5,2,1,1,7.683333333333341,5.625,3,3,0,6,8,T
1765,2,2,32,16,4,4,3,2,2,2,2,3,5,4,4,1,1,1,2,3,5,10,10,1,9,1,6,10,1,5,5,5,1,1,1,2,2,1,1,1,2, , , , , , , , , , , , , , , ,1,2,1,2,10.516666666666664,6.5,4,2,1,8,5,F
2003,2,2,13,13,101,2,2,2,2,2,2,4,4,4,4,1,1,2,2,2,6,8,8,3,5,4,4,7,4,4,2,4,2,2,1,2,2,1,2,2,2, , , , , , , , , , , , , , , ,5,1,3,2,8.516666666666667,5.625,0,3,0,15,2,F
1633,2,1,11,1,3,1,1,1,1,1,2,4,2,4,3,2,3,2,3,3,9,9,9,5,8,8,4,7,2,4,4,2, , , , , , , , , ,3,3,3,3,3,2,3,3,2,3,2,3,3,2,3,3,2,3,2,11.966666666666654,7.375,0,6,1,7,6,F
367,2,2,20,1,3,2,2,2,3,2,4,2,1,1,1,1,1,1,1,1,5,5,2,1,5,2,1,5,2,5,5,1,2,2,2,1,1,2,1,4,2, , , , , , , , , , , , , , , ,5,2,2,1,20.29999999999997,3.25,6,2,0,6,6,T
407,2,2,-98, ,3,4,4,2,2,1,1,2,3,2,2,1,1,1,1,1,3,5,7,2,5,3,7,7,4,4,4,4, , , , , , , , , ,1,2,2,1,1,4,2,2,2,2,2,1,2,4,3,1,1,2,3,6.13333333333333,4.875,2,7,1,3,7,F
1731,2,2,1,17,3,1,1,1,1,1,1,4,3,4,4,3,3,3,3,4,5,5,7,2,5,2,2,3,4,5,5,1,3,-98,1,-98,2,1,2,3,1, , , , , , , , , , , , , , , ,2,2,3,1,11.199999999999998,3.875,3,5,1,4,7,T
1598,2,4,11,20,3,2,2,1,1,1,1,4,3,2,2,2,2,3,3,1,5,4,7,1,5,3,3,8,2,4,4,1,3,1,1,2,1,2,2,4,3, , , , , , , , , , , , , , , ,1,1,4,1,22.400000000000006,4.5,0,7,1,6,6,F
612,2,2,11,20,3,2,2,1,1,1,1,3,2,4,2,2,2,4,3,2,5,6,7,2,6,4,6,6,5,4,4,2,2,2,1,2,1,2,1,3,3, , , , , , , , , , , , , , , ,2,2,1,3,9.600000000000009,5.25,2,5,1,8,4,F
341,2,2,1,1,101,2,2,2,2,2,1,3,4,4,4,3,3,3,3,3,5,2,3,2,5,3,3,6,4,4,4,2,2,1,2,1,1,1,1,3,3, , , , , , , , , , , , , , , ,3,1,2,1,8.033333333333339,3.625,0,8,1,10,1,F
2179,2,2,16,20,3,3,3,3,3,3,3,1,1,1,1,1,1,1,1,1,3,3,1,1,3,1,1,3,2,2,2,1,4,2,2,1,1,2,2,2,3, , , , , , , , , , , , , , , ,1,2,2,1,9.683333333333326,2.0,4,6,0,4,6,T
